port,name,DI
Dev2/port0/line0,juicer_valve1,False
Dev2/port0/line1,juicer_valve2,False
Dev2/port0/line2,juicer_valve3,False
Dev2/port0/line3,juicer_valve4,False
Dev2/port0/line4,juicer_valve5,False
Dev2/port0/line5,juicer_valve6,False
Dev2/port1/line0,juicer_valve7,False
Dev2/port1/line1,juicer_valve8,False
Dev2/port1/line2,juicer_valve9,False
Dev2/port1/line3,juicer_valve10,False
Dev2/port1/line4,juicer_valve11,False
Dev2/port1/line5,juicer_valve12,False
Dev2/port1/line6,juicer_flush,False
Dev2/port1/line7,juicer_purge,False
Dev2/port0/line6,juicer_bleed1,False
Dev2/port0/line7,juicer_bleed2,False
Dev4/port0/line6,licks_all,True
Dev2/port5/line0,beam9,True
Dev2/port5/line1,beam10,True
Dev2/port5/line2,beam11,True
Dev2/port5/line3,beam12,True
Dev2/port5/line4,beam13,True
Dev2/port5/line5,beam14,True
Dev2/port5/line6,beam15,True
Dev2/port5/line7,beam16,True
Dev2/port2/line0,beam1,True
Dev2/port2/line1,beam2,True
Dev2/port2/line2,beam3,True
Dev2/port2/line3,beam4,True
Dev2/port2/line4,beam5,True
Dev2/port2/line5,beam6,True
Dev2/port2/line6,beam7,True
Dev2/port2/line7,beam8,True
Dev2/port10/line0,lmsleep,False
Dev2/port10/line1,lmLtmaze,False
Dev2/port10/line2,lmCtmaze,False
Dev2/port10/line3,lmRtmaze,False
Dev2/port3/line0,door1,False
Dev2/port3/line1,door2,False
Dev2/port3/line2,door3,False
Dev2/port3/line5,door4,False
Dev2/port3/line6,door5,False
Dev2/port3/line7,door6,False
Dev2/port3/line4,door7,False
Dev2/port9/line0,beam27,True
Dev2/port9/line1,beam26,True
Dev2/port9/line2,beam25,True
Dev2/port9/line3,beam24,True
Dev2/port9/line4,beam23,True
Dev2/port9/line5,beam22,True
Dev2/port9/line6,beam21,True
Dev2/port9/line7,beam20,True
Dev2/port6/line0,beam19,True
Dev2/port6/line1,beam18,True
Dev2/port6/line2,beam17,True
Dev2/port6/line3,beam29,True
Dev2/port6/line4,beam28,True
Dev2/port8/line5,tstst0,False
Dev2/port8/line6,tstst1,False
Dev2/port11/line0,event0,False
Dev2/port11/line1,event1,False
Dev2/port11/line2,event2,False
Dev2/port11/line3,event3,False
Dev2/port11/line4,event4,False
Dev2/port11/line5,event5,False
Dev2/port11/line6,event6,False
Dev2/port11/line7,event7,False
Dev4/ao0,speaker1,False
Dev4/port0/line0,speakerts,False
Dev4/port1/line1,dummyopen,False
