,event
2023-09-28 20:56:48.931686,False
2023-09-28 20:56:48.932198,False
2023-09-28 20:56:48.933611,False
2023-09-28 20:56:48.934606,True
2023-09-28 20:56:48.935600,False
2023-09-28 20:56:48.936597,False
2023-09-28 20:56:49.230599,True
2023-09-28 20:56:49.232109,True
2023-09-28 20:56:49.233573,True
2023-09-28 20:56:49.234568,True
2023-09-28 20:56:49.235563,True
2023-09-28 20:56:49.236559,True
2023-09-28 20:56:49.237554,False
2023-09-28 20:56:49.238550,True
2023-09-28 20:56:49.239546,True
2023-09-28 20:56:49.240541,True
2023-09-28 20:56:49.241537,True
2023-09-28 20:56:49.242860,True
2023-09-28 20:56:49.243850,True
2023-09-28 20:56:49.244848,True
2023-09-28 20:56:49.245843,True
2023-09-28 20:56:49.246839,True
2023-09-28 20:56:49.247834,True
2023-09-28 20:56:49.248830,True
2023-09-28 20:56:49.492417,True
2023-09-28 20:56:49.493417,True
2023-09-28 20:56:49.494418,False
2023-09-28 20:56:49.495413,True
2023-09-28 20:56:49.496412,True
2023-09-28 20:56:49.497404,True
2023-09-28 20:56:49.498399,True
2023-09-28 20:56:49.499395,True
2023-09-28 20:56:49.500391,True
2023-09-28 20:56:49.501386,False
2023-09-28 20:56:49.501893,True
2023-09-28 20:56:49.502894,True
2023-09-28 20:56:49.812569,buff_size: 10000; 0; False
2023-09-28 20:56:49.813567,buff_size: 10000; 0; False
2023-09-28 20:56:49.814563,buff_size: 10000; 0; False
2023-09-28 20:56:49.815559,buff_size: 10000; 0; False
2023-09-28 20:56:49.816554,buff_size: 10000; 0; False
2023-09-28 20:56:49.817560,buff_size: 10000; 0; False
2023-09-28 20:56:49.818545,buff_size: 10000; 0; False
2023-09-28 20:56:49.819541,buff_size: 10000; 0; False
2023-09-28 20:56:49.820539,buff_size: 10000; 0; False
2023-09-28 20:56:49.821533,buff_size: 10000; 0; False
2023-09-28 20:56:49.822687,buff_size: 10000; 0; False
2023-09-28 20:56:49.823687,buff_size: 10000; 0; False
2023-09-28 20:56:49.824682,buff_size: 10000; 0; False
2023-09-28 20:56:49.825678,buff_size: 10000; 0; False
2023-09-28 20:56:49.826674,buff_size: 10000; 0; False
2023-09-28 20:56:52.589496,buff_size: 10000; 0; False
2023-09-28 20:56:52.590493,buff_size: 10000; 0; False
2023-09-28 20:56:52.592008,buff_size: 10000; 0; False
2023-09-28 20:56:52.593079,buff_size: 10000; 0; False
2023-09-28 20:56:52.594118,buff_size: 10000; 0; False
2023-09-28 20:56:52.595113,buff_size: 10000; 0; False
2023-09-28 20:56:52.596110,buff_size: 10000; 0; False
2023-09-28 20:56:52.597104,buff_size: 10000; 0; False
2023-09-28 20:56:52.626350,buff_size: 10000; 0; False
2023-09-28 20:56:52.627717,buff_size: 10000; 0; False
2023-09-28 20:56:52.628756,buff_size: 10000; 0; False
2023-09-28 20:56:52.629752,buff_size: 10000; 0; False
2023-09-28 20:56:52.631408,buff_size: 10000; 0; False
2023-09-28 20:56:52.632413,buff_size: 10000; 0; False
2023-09-28 20:56:52.633607,buff_size: 10000; 0; False
2023-09-28 20:56:52.634637,buff_size: 10000; 0; False
2023-09-28 20:56:52.635634,buff_size: 10000; 0; False
2023-09-28 20:56:52.636628,buff_size: 10000; 0; False
2023-09-28 20:56:52.637625,buff_size: 10000; 0; False
2023-09-28 20:56:52.638622,buff_size: 10000; 0; False
2023-09-28 20:56:52.639636,buff_size: 10000; 0; False
2023-09-28 20:56:52.640610,buff_size: 10000; 0; False
2023-09-28 20:56:53.870251,buff_size: 10000; 0; False
2023-09-28 20:56:53.871247,buff_size: 10000; 0; False
2023-09-28 20:56:53.871758,buff_size: 10000; 0; False
2023-09-28 20:56:53.873093,buff_size: 10000; 0; False
2023-09-28 20:56:53.874132,buff_size: 10000; 0; False
2023-09-28 20:56:53.875128,buff_size: 10000; 0; False
2023-09-28 20:56:53.876124,buff_size: 10000; 0; False
2023-09-28 20:56:53.877121,buff_size: 10000; 0; False
2023-09-28 20:56:53.878115,buff_size: 10000; 0; False
2023-09-28 20:56:53.879110,buff_size: 10000; 0; False
2023-09-28 20:56:53.880070,buff_size: 10000; 0; False
2023-09-28 20:56:54.052171,buff_size: 10000; 0; False
2023-09-28 20:56:54.053174,buff_size: 10000; 0; False
2023-09-28 20:56:54.054177,buff_size: 10000; 0; False
2023-09-28 20:56:54.055172,buff_size: 10000; 0; False
2023-09-28 20:56:54.056168,buff_size: 10000; 0; False
2023-09-28 20:56:54.057163,buff_size: 10000; 0; False
2023-09-28 20:56:54.058160,buff_size: 10000; 0; False
2023-09-28 20:56:54.059155,buff_size: 10000; 0; False
2023-09-28 20:56:54.060153,buff_size: 10000; 0; False
2023-09-28 20:56:54.061742,buff_size: 10000; 0; False
2023-09-28 20:56:54.062744,buff_size: 10000; 0; False
2023-09-28 20:56:54.063746,buff_size: 10000; 0; False
2023-09-28 20:56:54.064742,buff_size: 10000; 0; False
2023-09-28 20:56:54.394507,buff_size: 10000; 0; False
2023-09-28 20:56:54.395510,buff_size: 10000; 0; False
2023-09-28 20:56:54.396505,buff_size: 10000; 0; False
2023-09-28 20:56:54.397501,buff_size: 10000; 0; False
2023-09-28 20:56:54.410435,buff_size: 10000; 0; False
2023-09-28 20:56:54.411429,buff_size: 10000; 0; False
2023-09-28 20:56:54.411940,buff_size: 10000; 0; False
2023-09-28 20:56:54.412942,buff_size: 10000; 0; False
2023-09-28 20:56:54.413946,buff_size: 10000; 0; False
2023-09-28 20:56:54.414940,buff_size: 10000; 0; False
2023-09-28 20:56:54.608289,buff_size: 10000; 0; False
2023-09-28 20:56:54.609283,buff_size: 10000; 0; False
2023-09-28 20:56:54.610318,buff_size: 10000; 0; False
2023-09-28 20:56:54.611276,buff_size: 10000; 0; False
2023-09-28 20:56:54.612666,buff_size: 10000; 0; False
2023-09-28 20:56:54.613697,buff_size: 10000; 0; False
2023-09-28 20:56:54.614694,buff_size: 10000; 0; False
2023-09-28 20:56:54.615687,buff_size: 10000; 0; False
2023-09-28 20:56:54.616685,buff_size: 10000; 0; False
2023-09-28 20:56:54.617644,buff_size: 10000; 0; False
2023-09-28 20:56:54.618675,buff_size: 10000; 0; False
2023-09-28 20:56:54.619671,buff_size: 10000; 0; False
2023-09-28 20:56:54.620631,buff_size: 10000; 0; False
2023-09-28 20:56:54.621625,buff_size: 10000; 0; False
2023-09-28 20:57:18.318411,buff_size: 10000; 0; False
2023-09-28 20:57:18.319443,buff_size: 10000; 0; False
2023-09-28 20:57:18.320956,buff_size: 10000; 0; False
2023-09-28 20:57:18.321986,buff_size: 10000; 0; False
2023-09-28 20:57:18.323119,buff_size: 10000; 0; False
2023-09-28 20:57:18.324117,buff_size: 10000; 0; False
2023-09-28 20:57:18.325113,buff_size: 10000; 0; False
2023-09-28 20:57:18.326107,buff_size: 10000; 0; False
2023-09-28 20:57:18.601058,buff_size: 10000; 0; False
2023-09-28 20:57:18.602522,buff_size: 10000; 0; False
2023-09-28 20:57:18.603550,buff_size: 10000; 0; False
